CITIES,Levy Code,Levy Rate,Senior Rate
Seattle,0010,9.56207,6.36534
,0011,9.56207,6.36534
,0014,9.56207,6.36534
,0016,9.56207,6.36534
,0025,9.56207,6.36534
,0030,12.93232,6.36534
,0032,12.93232,6.36534
Algona,0045,13.47928,6.48495
,0051,14.00389,6.48495
Auburn,0105,14.15594,7.16161
,0112,14.61283,7.6185
,0114,14.15594,7.16161
,0117,14.15594,7.16161
,0118,14.61283,7.6185
,0133,14.68055,7.16161
,0135,14.4531,6.93416
,0136,14.68055,7.16161
,0137,14.68055,7.16161
,0138,15.13744,7.6185
,0142,14.68055,7.16161
,0144,14.68055,7.16161
,0150,15.13744,7.6185
,0202,13.02509,7.6185
,0203,13.02509,7.6185
,0216,13.02509,7.6185
Beaux Arts Village,0252,9.18369,5.29508
Bellevue,0300,9.19441,5.3058
,0310,9.5203,5.52872
,0330,9.19441,5.3058
,0345,9.25357,5.3058
,0381,9.6513,5.76269
,0388,10.65755,5.76269
,0389,10.25982,5.3058
,0390,10.20066,5.3058
,0391,10.04532,5.07835
,0393,10.27277,5.3058
,0395,9.4237,5.3058
,0396,9.97321,5.07835
,0816,11.51907,5.76269
Bothell,0850,10.36027,6.1394
,0851,11.00189,6.1394
,0859,11.00189,6.1394
,0860,11.00189,6.1394
,0870,11.00189,6.1394
,0871,11.00189,6.1394
,0873,11.17577,6.1394
,0875,11.00189,6.1394
,0877,11.17577,6.1394
,0878,11.00189,6.1394
Federal Way,1190,13.93728,6.77297
,1193,13.93728,6.77297
,1195,13.93728,6.77297
,1198,13.93728,6.77297
,1202,13.93728,6.77297
,1204,13.93728,6.77297
,1205,13.93728,6.77297
,1209,13.93728,6.77297
Lake Forest Park,1237,11.49959,6.31931
,1239,11.1637,6.09639
,1243,11.28827,6.09639
,1245,11.1637,6.09639
,1256,11.1637,6.09639
,1294,11.1637,6.09639
,1296,11.48959,6.31931
,1318,11.1637,6.09639
,1335,11.35568,6.31931
Hunts Point,1343,8.01482,4.1713
Issaquah,1404,10.06257,4.38073
,1405,10.29002,5.14973
,1418,10.27707,5.14973
,1420,10.34918,5.14973
,1435,10.06257,4.92228
,1436,10.29002,5.14973
,1437,10.21791,5.14973
Kenmore,1441,11.06605,6.3748
,1442,11.70767,6.3748
Kent,1451,13.54007,6.67766
,1452,13.54007,6.67766
,1453,13.54007,6.67766
,1455,13.99696,7.13455
,1457,13.54007,6.67766
,1461,13.54007,6.67766
,1467,13.14683,6.67766
,1468,13.14683,6.67766
,1470,13.14683,6.67766
,1511,12.95444,6.45021
,1512,12.95444,6.45021
,1514,12.89093,7.13455
,1516,12.40922,7.13455
,1519,12.40922,7.13455
,1524,12.40922,7.13455
,1526,12.40922,7.13455
,1551,12.40922,7.13455
,1560,12.18177,6.9071
,1562,12.40922,7.13455
,1564,12.40922,7.13455
,1565,12.40922,7.13455
,1570,14.06468,6.67766
North Bend,1925,12.3214,6.18928
,1928,12.44989,6.18928
Pacific,1950,11.75796,6.44894
,1952,11.75796,6.44894
,1960,13.96788,6.44894
Redmond,2010,9.74455,5.75297
,2016,9.41866,5.53005
,2017,9.97384,5.75297
,2019,9.74639,5.52552
,2021,9.74639,5.52552
,2025,9.97384,5.75297
,2053,9.64795,5.53005
,2085,9.97384,5.75297
Renton,2100,12.51853,6.80724
,2105,12.56362,6.80724
,2106,12.56362,6.80724
,2107,12.7676,6.80724
,2108,12.06164,6.35035
,2120,12.56362,6.80724
,2124,12.51853,6.80724
,2128,12.7676,6.80724
,2132,12.51853,6.80724
,2133,11.01776,6.1229
,2134,11.30437,6.35035
,2135,11.24521,6.35035
,2142,12.56362,6.80724
,2143,12.56362,6.80724
,2145,12.51853,6.80724
,2147,12.51853,6.80724
,2151,12.51853,6.80724
,2153,12.56362,6.80724
,2155,12.51853,6.80724
,2156,12.7676,6.80724
,2158,12.33617,6.57979
,2159,11.24521,6.35035
,2160,11.7021,6.80724
,2161,11.7021,6.80724
,2162,11.47465,6.57979
,2163,10.97267,6.1229
,2166,11.20012,6.35035
,2167,12.08191,6.80724
,2168,12.03682,6.80724
,2169,12.03682,6.80724
,2170,12.08191,6.80724
,2171,11.20012,6.35035
,2172,12.28589,6.80724
,2173,12.28589,6.80724
Snoqualmie,2277,12.93251,7.00151
,2278,13.00338,7.00151
,2282,13.60156,7.5185
,2290,13.73005,7.5185
Tukwila,2310,14.27908,7.35409
,2320,14.27908,7.35409
,2325,13.82219,6.8972
,2326,13.82219,6.8972
,2327,14.27908,7.35409
,2330,13.1094,6.8972
,2361,13.56629,7.35409
,2401,13.61389,6.8972
,2405,14.07078,7.35409
,2406,13.61389,6.8972
,2408,13.61389,6.8972
,2413,13.61389,6.8972
,2417,13.61389,6.8972
,2421,14.07078,7.35409
,2422,16.61389,6.8972
,2423,16.61389,6.8972
,2426,13.56629,7.35409
,2430,10.45194,6.8972
,2440,13.82219,6.8972
,2442,13.82219,6.8972
,2443,13.08458,7.35409
,2446,13.08458,7.35409
Woodinville,2500,10.48515,6.26428
,2505,11.12677,6.26428
,2506,10.89932,6.03683
,2510,11.12677,6.26428
Yarrow Point,2650,8.24177,4.39825
,2660,8.24177,4.39825
,2670,8.56766,4.62117
Seattle - 001,3006,9.43219,6.33327
,3010,9.43219,6.33327
,3015,10.43219,7.33327
,3018,10.43219,7.33327
,3030,10.43219,7.33327
Federal Way - 210,3266,14.42394,7.56153
,3268,14.92969,7.76538
,3269,14.42394,7.56153
,3305,14.92969,7.76538
,3415,14.92969,7.76538
,3416,14.42394,7.56153
,3425,14.92969,7.76538
,3490,14.92969,7.76538
Enumclaw - 216,3530,11.46135,6.10582
,3531,11.46135,6.10582
,3532,12.96135,7.60582
,3533,12.96135,7.60582
,3550,12.94,7.58447
,3551,12.94,7.58447
,3565,13.19265,7.60582
,3571,13.19265,7.60582
,3575,12.52095,7.06986
,3576,12.52095,7.03986
Highline - 401,3642,13.80244,7.33327
,3645,13.80244,7.33327
,3660,13.80244,6.33327
,3697,13.80244,7.33327
,3705,13.80244,7.33327
,3710,13.80244,7.33327
,3774,13.80244,7.33327
,3780,13.80244,7.33327
,3850,13.80244,7.33327
Vashon - 402,4045,12.35552,8.10078
,4050,12.35552,8.10078
,4055,12.35552,8.10078
,4060,12.35552,8.10078
Renton - 403,4125,14.2666,8.14825
,4126,14.2666,8.14825
,4155,13.464,7.70762
,4160,13.23655,7.48017
,4170,13.75058,7.79016
,4205,14.2666,8.14825
,4215,14.2666,8.14825
,4216,14.2666,8.14825
,4250,13.75052,7.79016
