CITIES,Code,Levy Rate,Rate
Highline - 401,3642,14.80491,8.95911
,3645,14.80491,8.95911
,3660,14.30491,8.45911
,3697,14.80491,8.95911
,3705,14.80491,8.95911
,3710,14.80491,8.95911
,3774,14.80491,8.95911
,3780,14.80491,8.95911
,3850,14.80491,8.95911
Vashon - 402,4045,13.32272,9.14703
,4050,13.32272,9.14703
,4055,13.32272,9.14703
,4060,13.32272,9.14703
Renton - 403,4125,15.85898,9.45911
,4126,15.85898,9.45911
,4155,14.95189,9.45911
,4170,14.72091,8.95911
,4205,15.85898,9.45911
,4215,15.85898,9.45911
,4216,15.85898,9.45911
,4250,14.72091,8.95911
,4342,14.95189,9.45911
,4350,14.95189,9.45911
,4355,14.45189,8.95911
,4370,14.95189,9.45911
,4398,14.72091,8.95911
,4399,14.95189,9.45911
Auburn - 408,4730,15.71616,8.95911
Kent - 415 (cont),5160,15.39147,8.95911
,5165,15.86255,9.45911
,5166,15.36255,8.95911
,5175,15.12245,8.95911
,5181,15.12245,8.95911
Fife - 888,5226,14.06909,8.95911
,5229,14.06909,8.95911
Skykomish - 404,6075,9.42227,7.45911
,6076,10.80507,8.84191
,6079,10.80507,8.84191
Riverview - 407,6370,12.49327,7.45911
,6371,13.01222,7.78595
,6373,12.99327,7.95911
,6384,14.62058,9.45911
,6385,14.62058,9.45911
,6386,14.62058,9.45911
,6390,14.51222,9.28595
,6395,13.99327,8.95911
,6405,14.1052,8.78595
,6407,14.08625,8.95911
,6408,14.08625,8.95911
,6415,14.01222,8.78595
,6420,15.06292,9.28595
,6428,14.01222,8.78595
,6430,13.01222,7.78595
,6431,12.99327,7.95911
,6435,14.1052,8.78595
,6436,14.08625,8.95911
,6440,15.06292,9.28595
,6443,15.06292,9.28595
,6445,14.51222,9.28595
,6450,13.99327,8.95911
Tahoma - 409,6510,14.94079,8.45911
,6514,14.94079,8.45911
,6530,15.84781,9.45911
,6535,15.58791,8.95911
,6540,16.08791,9.45911
,6545,15.54028,8.95911
Snoqualmie - 410,6589,12.3722,7.95911
,6590,12.3722,7.95911
,6591,13.15727,8.20911
,6620,13.46518,8.95911
,6621,13.46518,8.95911
,6625,13.48413,8.78595
,6626,13.99951,9.45911
,6627,13.99951,9.45911
,6630,13.99951,9.45911
,6631,13.99951,9.45911
,6634,13.99951,9.45911
Lake Washington - 414,7260,13.35927,9.28595
,7265,13.35927,9.28595
,7278,13.35927,9.28595
,7340,11.85927,7.78595
,7370,12.95225,8.78595
,7380,13.35927,9.28595
,7415,13.35927,9.28595
,7420,12.85927,8.78595
Northshore - 417,7505,14.92889,9.28595
Black Diamond,0880,14.42329,8.03459
,0881,14.42329,8.03459
,0882,14.42329,8.03459
,0883,14.42329,8.03459
,0890,14.19793,8.03459
,0891,14.69793,8.53459
,0905,14.05685,8.03459
,0906,14.05685,8.03459
,0910,14.05685,8.03459
,0915,14.05685,8.03459
,0920,14.79164,8.03459
Burien,0927,14.6091,8.30911
,0930,14.6091,8.30911
,0932,14.6091,8.30911
,0933,14.6091,8.30911
,0935,14.6091,8.30911
,0937,14.6091,8.30911
,0940,14.6091,8.30911
,0941,14.6091,8.30911
,0942,14.6091,8.30911
,0955,14.6091,8.30911
,0957,14.6091,8.30911
,0958,14.20441,8.35861
,0960,14.20441,8.35861
,0961,14.20441,8.35861
,0962,14.19208,8.35861
Carnation,0970,13.40659,8.27945
,0971,13.40659,8.27945
,0972,13.40659,8.27945
Mercer Island,1031,9.44136,6.64424
Clyde Hill,1050,9.3485,5.96084
,1052,9.86745,6.28768
,1053,9.3485,5.96084
Covington,1056,14.14539,7.75669
,1059,14.42003,8.25669
,1060,14.42003,8.25669
,1062,14.42003,8.25669
,1063,14.42003,8.25669
,1064,14.42003,8.25669
,1067,14.42003,8.25669
,1068,14.42003,8.25669
Des Moines,1072,16.75535,8.55081
,1074,16.75535,8.55081
,1076,16.75535,8.55081
,1078,16.75535,8.55081
,1080,16.75535,8.55081
,1085,14.91623,8.55081
,1090,14.91623,8.55081
,1105,14.91623,8.55081
,1107,14.91623,8.55081
Kent (cont.),1512,14.29209,7.90339
,1514,13.89617,8.40339
,1516,14.56673,8.40339
,1518,14.56673,8.40339
,1519,14.56673,8.40339
,1522,14.56673,8.40339
,1524,14.56673,8.40339
,1525,14.56673,8.40339
,1526,14.56673,8.40339
,1551,14.56673,8.40339
,1560,14.56673,8.40339
,1562,14.56673,8.40339
,1564,14.56673,8.40339
,1565,14.56673,8.40339
,1570,14.66044,7.90339
Kirkland,1700,11.47734,7.33153
,1701,11.47734,7.33153
,1702,11.40485,7.33153
,1703,11.40485,7.33153
,1704,11.40485,7.33153
,1705,11.40485,7.33153
,1706,11.40485,7.33153
,1707,11.40485,7.33153
,1708,11.55106,7.47774
,1709,12.97447,7.33153
,1710,12.97447,7.33153
,1711,12.97447,7.33153
,1713,11.55106,7.47774
,1714,11.55106,7.47774
,1715,11.55106,7.47774
,1716,11.55106,7.47774
,1717,13.12068,7.47774
,1727,11.47734,7.33153
,1728,11.47734,7.33153
,1743,11.47734,7.33153
,1746,11.47734,7.33153
,1755,10.98379,7.33153
,1760,10.98379,7.33153
,1765,10.95839,7.00469
,1806,11.47734,7.33153
Maple Valley,1810,14.88636,8.25756
,1811,14.88636,8.25756
,1812,14.88636,8.25756
,1813,14.88636,8.25756
,1814,15.38636,8.75756
,1817,14.88636,8.25756
,1818,14.88636,8.25756
,1821,14.88636,8.25756
,1826,15.161,8.75756
,1827,15.161,8.75756
Renton (cont.),2156,14.57091,8.80911
,2158,14.30189,8.80911
,2159,13.18772,8.30911
,2162,13.68772,8.80911
,2163,13.12029,8.30911
,2166,13.12029,8.30911
,2167,14.97245,8.80911
,2168,14.90502,8.80911
,2169,14.90502,8.80911
,2170,14.97245,8.80911
,2172,15.24147,8.80911
,2173,14.97245,8.80911
Sammamish,2175,12.67856,7.79995
,2177,12.67856,7.79995
,2180,12.73199,8.12679
,2181,12.73199,8.12679
,2182,12.20011,8.12679
,2183,12.20011,8.12679
,2187,12.20011,8.12679
,2195,12.20011,8.12679
,2196,12.34035,7.79995
,2197,12.84035,8.29995
,2198,12.84035,8.29995
SeaTac,2201,14.15491,8.30911
,2205,14.15491,8.30911
,2206,14.15491,8.30911
,2207,14.15491,8.30911
,2210,14.15491,8.30911
,2212,14.15491,8.30911
,2218,14.15491,8.30911
,2219,14.15491,8.30911
,2222,14.15491,8.30911
,2225,14.65491,8.80911
,2226,14.15491,8.30911
,2228,14.15491,8.30911
,2230,14.65491,8.80911
,2231,14.15491,8.30911
,2232,14.65491,8.80911
,2240,14.30189,8.80911
,2243,14.64258,8.80911
,2245,14.14258,8.30911
,2246,14.64258,8.80911
,2251,14.97245,8.80911
,2252,14.97245,8.80911
Shoreline,2258,14.76445,8.30911
,2259,14.76445,8.30911
,2260,14.76445,8.30911
,2261,14.76445,8.30911
,2262,14.76445,8.30911
,2263,14.76445,8.30911
,2266,14.76445,8.30911
Auburn - 408 (cont),4735,15.71616,8.95911
,4745,16.0385,8.95911
,4750,16.07137,8.95911
,4795,16.07137,8.95911
,4797,16.0385,8.95911
,4800,15.71616,8.95911
Tahoma - 409,4845,13.84781,7.45911
,4846,14.34781,7.95911
,4848,13.84781,7.45911
,4850,15.34781,8.95911
,4851,15.34781,8.95911
,4852,15.84781,9.45911
