CITIES,Levy Code,Levy Rate,Senior Rate
Seattle,0010,10.29168,7.54445
,0014,10.29168,7.54445
,0016,10.29168,7.54445
,0025,10.29168,7.54445
,0030,13.39768,7.54445
,0032,13.39768,7.54445
Algona,0045,15.66556,8.0611
,0050,14.88667,8.0611
,0051,14.88667,8.0611
Auburn,0105,15.90759,8.30313
,0110,15.90759,8.30313
,0112,16.40759,8.80313
,0114,15.90759,8.30313
,0115,15.90759,8.30313
,0117,15.90759,8.30313
,0118,16.40759,8.80313
,0120,15.1287,8.30313
,0135,15.1287,8.30313
,0136,15.1287,8.30313
,0137,15.1287,8.30313
,0138,15.6287,8.80313
,0142,15.1287,8.30313
,0143,15.6287,8.80313
,0144,15.1287,8.30313
,0145,15.1287,8.30313
,0150,15.6287,8.80313
,0201,14.86061,8.80313
,0202,14.86061,8.80313
,0203,14.86061,8.80313
,0216,14.86061,8.80313
Beaux Arts Village,0251,9.92689,6.61291
,0252,9.92689,6.61291
Bellevue,0300,9.52457,6.21059
,0310,9.99497,6.51554
,0315,9.99497,6.51554
,0330,9.52457,6.21059
,0345,9.611,6.21059
,0381,10.02457,6.71059
,0388,11.41747,6.71059
,0389,11.0039,6.21059
,0390,10.91747,6.21059
,0391,11.01037,6.21059
,0395,9.84082,6.21059
,0816,12.23555,6.71059
Bothell,0850,10.83463,6.93197
,0851,12.26913,6.93197
,0859,12.26913,6.93197
,0860,12.26913,6.93197
,0870,12.26913,6.93197
Des Moines (cont.),1126,14.77099,8.48532
,1139,14.77099,8.48532
,1141,14.77099,8.48532
Duvall,1150,14.16998,8.48776
,1155,14.16998,8.48776
Enumclaw,1175,13.28508,7.82007
,1180,13.28508,7.82007
,1181,13.34683,7.82007
Federal Way,1190,15.74707,8.032
,1193,15.74707,8.032
,1195,15.74707,8.032
,1198,15.74707,8.032
,1202,15.74707,8.032
,1204,15.74707,8.032
,1205,15.74707,8.032
,1209,15.74707,8.032
Lake Forest Park,1238,13.52014,7.63051
,1239,13.52014,7.63051
,1243,13.71282,7.63051
,1244,13.52014,7.63051
,1245,13.52014,7.63051
,1255,13.52014,7.63051
,1256,13.52014,7.63051
,1294,13.52014,7.63051
,1295,13.52014,7.63051
,1296,13.99054,7.93546
,1315,13.52014,7.63051
,1318,13.52014,7.63051
,1335,13.40988,7.93546
Hunts Point,1343,8.24912,4.99689
Issaquah,1400,11.37444,6.33601
,1405,11.37444,6.33601
,1436,11.37444,6.33601
,1437,11.28154,6.33601
Kenmore,1441,12.01565,7.97573
,1442,13.45015,7.97573
Kent,1451,15.18227,7.78075
,1452,15.18227,7.78075
,1453,15.18227,7.78075
,1455,15.68227,8.28075
,1457,15.18227,7.78075
,1458,15.18227,7.78075
,1461,15.18227,7.78075
,1463,15.18227,7.78075
,1464,15.18227,7.78075
,1467,13.55609,7.78075
,1468,13.55609,7.78075
,1470,13.55609,7.78075
,1511,15.11631,7.78075
,1512,15.11631,7.78075
Medina,1836,9.38176,6.06778
Milton,1848,16.11124,8.40074
,1850,16.11124,8.40074
,1855,13.4886,8.40074
,1860,13.4886,8.40074
Newcastle,1864,12.8568,7.33184
,1865,13.3568,7.83184
,1867,11.14582,7.83184
,1869,12.03872,7.33184
,1870,12.13162,7.33184
,1872,12.03872,7.33184
,1873,12.53872,7.83184
Normandy Park,1876,14.98522,8.76303
,1882,14.98522,8.76303
,1883,14.98522,8.76303
,1884,14.98522,8.76303
,1896,14.98522,8.76303
,1898,14.98522,8.76303
North Bend,1925,12.63842,7.49055
Pacific,1950,12.74441,7.76259
,1952,12.74441,7.76259
,1960,14.58816,7.76259
Redmond,2010,10.59166,7.06889
,2015,10.12126,6.76394
,2016,10.12126,6.76394
,2019,10.86457,7.06889
,2020,10.90791,7.06889
,2025,10.90791,7.06889
,2053,10.43751,6.76394
,2057,10.43751,6.76394
,2085,10.86457,7.06889
Renton,2100,14.25053,8.78732
,2104,14.25053,8.78732
,2105,14.31228,8.78732
,2106,14.60412,8.78732
,2107,14.57446,8.78732
,2108,13.75053,8.28732
,2124,14.25053,8.78732
,2128,14.57446,8.78732
,2130,14.25053,8.78732
,2132,14.25053,8.78732
,2133,12.9942,8.28732
,2134,13.08063,8.28732
,2142,14.31228,8.78732
,2143,14.31228,8.78732
,2145,14.25053,8.78732
,2146,14.25053,8.78732
,2147,14.25053,8.78732
,2151,14.25053,8.78732
,2152,14.25053,8.78732
,2153,14.31228,8.78732
,2155,14.25053,8.78732
Skykomish,2270,10.29015,8.23498
Snoqualmie,2275,13.14149,8.6136
,2277,13.14149,8.6136
,2278,13.24705,8.6136
,2282,13.92571,8.8636
Tukwila,2310,14.53851,8.76317
,2320,14.53851,8.76317
,2325,14.03851,8.26317
,2326,14.03851,8.26317
,2327,14.53851,8.76317
,2330,13.78813,8.26317
,2340,14.28813,8.76317
,2360,14.28813,8.76317
,2361,14.28813,8.76317
,2380,14.27416,8.26317
,2390,14.77416,8.76317
,2400,14.27416,8.26317
,2401,14.27416,8.26317
,2403,14.27416,8.26317
,2405,14.77416,8.76317
,2406,14.27416,8.26317
,2407,14.27416,8.26317
,2408,14.27416,8.26317
,2413,14.27416,8.26317
,2417,14.27416,8.26317
,2421,14.77416,8.76317
,2422,14.27416,8.26317
,2423,14.27416,8.26317
,2426,14.28813,8.76317
,2430,10.93251,8.26317
,2440,14.03851,8.26317
,2442,14.03851,8.26317
,2443,14.61771,8.76317
,2446,14.61771,8.76317
Woodinville,2500,11.3921,7.59642
,2505,12.8266,7.59642
,2510,12.8266,7.59642
Yarrow Point,2650,8.52799,5.27576
,2660,8.52799,5.27576
,2670,8.99839,5.58071
Seattle - 001,3006,10.05508,7.38574
,3010,10.05508,7.38574
,3015,11.55508,8.88574
,3018,11.55508,8.88574
,3030,11.55508,8.88574
Federal Way - 210,3266,16.28726,8.88574
,3268,16.60081,8.88574
,3269,16.28726,8.88574
,3305,16.60081,8.88574
,3415,16.60081,8.88574
,3416,16.28726,8.88574
,3425,16.60081,8.88574
,3490,16.60081,8.88574
Enumclaw - 216,3530,12.9125,7.38574
,3531,12.9125,7.38574
,3532,14.74821,8.88574
,3533,14.74821,8.88574
,3550,14.13701,8.61025
,3551,14.13701,8.61025
,3565,15.08437,8.88574
,3571,15.08437,8.88574
,3575,14.28036,8.38574
,3576,14.28036,8.38574
Highline - 401,3642,14.66108,8.88574
,3645,14.66108,8.88574
,3660,14.06257,8.28723
,3697,14.66108,8.88574
,3705,14.66108,8.88574
,3710,14.66108,8.88574
,3774,14.66108,8.88574
,3780,14.66108,8.88574
,3850,14.66108,8.88574
Vashon - 402,4045,13.03093,9.01846
,4050,13.03093,9.01846
,4055,13.03093,9.01846
,4060,13.03093,9.01846
